Length,Merge Sort,Quicksort,Counting Sort,Radix Sort,QR Sort
10000,1993,3775,961198,990,680
20000,4075,6845,928266,1396,1307
30000,6291,10878,928378,2108,1870
40000,8578,15374,929854,2821,2419
50000,10844,18818,933582,3514,2981
60000,13383,24071,934191,4196,3578
70000,15552,27600,935849,4809,4126
80000,17844,31483,936567,5580,4673
90000,20125,37110,934056,6266,5249
100000,22929,40341,940156,6907,5950
110000,25149,45109,932640,7533,6435
120000,27484,49914,941057,8244,6927
130000,29944,54901,936290,8934,7503
140000,32351,59108,948238,9630,8277
150000,34966,65548,947186,10182,8744
160000,38133,68977,946552,11068,9432
170000,39584,71842,947695,11578,9878
180000,42391,78640,949982,12346,10428
190000,44823,85455,950750,12932,11060
200000,46597,86502,940625,13936,11543
210000,49292,89144,943110,14433,12042
220000,51850,95033,943891,15125,12597
230000,54322,101925,947430,15775,13149
240000,56645,102220,941809,16855,13782
250000,59378,111117,944566,17364,14434
260000,61562,112677,943467,18048,14839
270000,63897,118566,950133,18513,15330
280000,67096,121855,948481,19274,15932
290000,69256,127831,949834,19986,16748
300000,71657,134016,954860,20724,17048
310000,74311,137504,951523,21401,17506
320000,76394,140567,954128,22491,18372
330000,78860,146404,961498,23038,18983
340000,81895,152114,953572,23595,19320
350000,86274,163170,1020595,25268,20466
360000,87144,166313,961985,24936,20846
370000,90249,170902,963835,25666,21265
380000,92184,173582,965840,26657,21729
390000,94870,179501,967322,26953,22491
400000,97360,180099,962894,27632,23010
410000,99797,185719,969836,28202,23437
420000,102618,191058,971488,29527,24099
430000,105488,196884,971521,29556,24668
440000,108027,199278,971512,30874,25505
450000,111263,209429,973786,31471,25965
460000,113629,210810,971989,31710,26456
470000,116991,216623,976905,33021,27241
480000,118746,217912,975776,33765,27693
490000,120775,229376,977535,34225,28264
500000,123728,231029,979389,35218,28988
510000,125577,242665,978273,35089,29125
520000,128709,241980,977347,35938,29787
530000,131059,247619,983722,36712,30561
540000,133707,251116,978813,37920,31149
550000,136428,260308,983917,37995,31490
560000,139591,258208,980527,38966,32350
570000,142224,262096,987551,40274,32973
580000,144527,270513,985942,40715,33291
590000,147479,281719,987826,40982,33685
600000,151905,283160,988720,41993,34619
610000,154116,294487,990061,43561,35611
620000,154926,295518,991587,43153,35603
630000,157414,303290,995484,43934,36210
640000,159436,304031,994698,45205,36882
650000,161758,320437,993834,45297,37202
660000,164361,313220,998424,45886,37883
670000,167416,316338,997952,46503,38554
680000,170313,322641,999833,48049,39170
690000,172614,328046,1001463,48058,39632
700000,176070,332139,996834,48723,40509
710000,182181,333102,1006200,49862,40900
720000,181029,339215,1006117,50373,41942
730000,183591,356894,1003100,51190,42204
740000,186801,352215,1004225,52471,42679
750000,188885,357302,1011192,54095,43806
760000,191049,362252,1007060,53287,43556
770000,194210,360552,1010842,54484,44955
780000,195913,377900,1013157,55123,44951
790000,198753,362472,1019583,56151,45708
800000,201361,393438,1014612,57546,46038
810000,206469,389386,1014597,57197,46763
820000,207234,397008,1015345,57430,47245
830000,211919,402794,1030179,59722,49062
840000,214134,409777,1027194,60061,49932
850000,217533,411281,1029890,60686,49747
860000,218513,419988,1021584,61674,50104
870000,220441,418523,1021978,62559,50190
880000,222644,430682,1022775,62149,50601
890000,225298,427923,1025313,64748,51387
900000,229464,430624,1033660,63709,51764
910000,232021,442759,1074179,68539,54219
920000,247844,464717,1073742,73444,55551
930000,242489,468930,1053751,68149,54645
940000,243961,466786,1036527,67819,55017
950000,248270,473617,1046048,71900,56586
960000,247556,463495,1049102,70467,56019
970000,249678,495379,1039161,71958,56487
980000,257519,487983,1057147,76130,58670
990000,260375,510300,1060939,75529,60083
1000000,264550,518024,1071281,77080,61999
