Length,Radix Sort,QR Sort
10000,677,566
20000,815,1156
30000,1181,1809
40000,1588,2313
50000,1903,2850
60000,2266,3420
70000,2656,3952
80000,3015,4562
90000,3379,5108
100000,3725,5649
110000,4112,6251
120000,4474,6832
130000,4875,7427
140000,5203,7949
150000,5550,8596
160000,5935,9078
170000,6311,9680
180000,6841,10371
190000,7132,11036
200000,7506,11555
210000,7845,12053
220000,8200,12598
230000,8595,13243
240000,9024,13791
250000,9351,14318
260000,9635,14800
270000,10203,15595
280000,11047,16574
290000,10972,16603
300000,11236,17430
310000,11774,18005
320000,11987,18379
330000,12437,19180
340000,12831,19757
350000,15204,20818
360000,13452,20730
370000,13928,21365
380000,14299,21843
390000,14651,22472
400000,15161,23684
410000,15221,23597
420000,15742,24109
430000,16326,25223
440000,16807,25323
450000,16837,25831
460000,17260,26735
470000,17411,26962
480000,17916,27648
490000,18160,28144
500000,18565,28637
510000,18939,29233
520000,19312,29593
530000,19680,30506
540000,20296,31057
550000,20532,31642
560000,20850,31976
570000,21012,32637
580000,21722,33290
590000,22164,34275
600000,22355,34311
610000,22532,34904
620000,23402,35819
630000,23984,36629
640000,23951,36880
650000,24343,37615
660000,24673,37941
670000,24895,38343
680000,25334,39083
690000,25591,39552
700000,26425,40225
710000,26660,40771
720000,26926,41207
730000,27634,42362
740000,27626,42448
750000,27950,43165
760000,29442,44397
770000,28672,44341
780000,29096,44753
790000,29704,46017
800000,30033,46153
810000,30327,46441
820000,30889,47540
830000,30867,47648
840000,31367,48076
850000,32390,49153
860000,32043,49186
870000,32574,50107
880000,33209,50710
890000,33196,50829
900000,33863,51723
910000,33816,52195
920000,34450,52816
930000,35040,53844
940000,35329,54095
950000,35596,55071
960000,35877,56406
970000,36427,55538
980000,36636,56066
990000,37349,56825
1000000,37638,57872
