Length,Quicksort,Merge Sort,QR Sort
10000,337,532,195
20000,695,1217,594
30000,1063,1497,424
40000,1435,2066,505
50000,1988,3456,694
60000,2640,3303,857
70000,3657,3927,998
80000,3047,4460,1300
90000,3436,6571,1251
100000,6340,5787,2034
110000,5233,7859,1466
120000,6355,9138,1787
130000,7526,10357,2207
140000,6952,9063,1820
150000,8695,10455,2147
160000,8133,11373,2734
170000,8645,13895,2631
180000,10084,13387,2874
190000,12744,14940,3088
200000,11546,14629,3786
210000,10536,17331,5946
220000,11688,17699,4857
230000,12680,17880,5204
240000,14316,20660,4007
250000,12741,17895,4812
260000,16250,19162,5241
270000,14194,19041,6512
280000,15442,20661,4521
290000,15857,22595,6573
300000,13955,20577,6063
310000,15488,23667,5923
320000,16976,24486,4782
330000,18678,23312,5740
340000,19937,27996,7971
350000,19451,29542,7309
360000,19672,30082,8184
370000,23166,33117,8924
380000,21506,27412,8413
390000,21706,29813,8916
400000,22711,33540,6644
410000,22232,37406,7940
420000,22207,38627,10758
430000,20586,34158,8304
440000,26088,35033,8182
450000,26715,39330,8133
460000,23926,36095,8983
470000,27341,35710,11539
480000,24572,41706,9752
490000,26993,39336,11468
500000,30258,43182,10292
510000,29648,43389,9702
520000,29021,43396,12118
530000,29251,42773,11177
540000,31692,42541,13203
550000,27746,45639,9263
560000,32337,46514,12758
570000,34951,42141,13058
580000,33855,44882,11231
590000,34436,49784,12776
600000,32793,45674,11684
610000,39665,47143,15789
620000,36037,53856,14079
630000,36992,52100,13331
640000,36017,50676,16169
650000,40132,54052,13428
660000,40465,52052,12190
670000,33124,45339,14397
680000,37946,52753,14106
690000,36861,51756,17517
700000,40486,54705,14252
710000,43117,61373,17126
720000,44885,62546,16041
730000,42708,58575,20506
740000,45876,62494,16069
750000,41336,67105,15758
760000,45526,67089,19012
770000,46537,66095,20552
780000,49194,70799,18868
790000,45695,68303,17935
800000,53570,66685,15489
810000,45779,72156,19758
820000,46845,69904,19091
830000,49867,71562,18212
840000,48549,73592,20298
850000,49298,69598,20986
860000,50496,74559,23314
870000,52773,72242,22885
880000,58122,75580,20606
890000,47508,76147,20342
900000,52409,80270,18881
910000,50402,77067,21597
920000,54143,77520,20075
930000,57398,72662,25038
940000,55339,84369,21449
950000,62785,80076,22895
960000,55686,78542,22201
970000,56900,81321,24182
980000,52912,82832,22816
990000,63109,84047,22661
1000000,57799,87090,21776
