Length,Radix Sort,QR Sort
10000,190,69
20000,210,124
30000,331,200
40000,481,308
50000,1260,355
60000,797,400
70000,861,470
80000,1157,624
90000,1463,692
100000,1793,796
110000,806,765
120000,888,821
130000,1123,1311
140000,1063,1082
150000,2017,3008
160000,1869,1446
170000,1779,1657
180000,1589,1615
190000,2416,2521
200000,1927,2144
210000,1888,2685
220000,2244,1906
230000,1973,2489
240000,3515,2204
250000,2914,2208
260000,2534,3160
270000,2662,2182
280000,2631,3053
290000,2462,3380
300000,2980,3030
310000,2984,2710
320000,3381,3247
330000,3331,3435
340000,3000,2755
350000,3861,4498
360000,3827,4075
370000,4277,2897
380000,3294,3565
390000,5766,3806
400000,4484,4394
410000,5259,4589
420000,4439,3522
430000,3835,3560
440000,4025,4264
450000,5474,4523
460000,5908,4734
470000,5094,4907
480000,5507,5246
490000,4969,5196
500000,5454,4989
510000,6257,5236
520000,6494,6159
530000,7226,5754
540000,5265,6858
550000,6076,5616
560000,6877,7024
570000,6177,7631
580000,6403,5135
590000,5661,5204
600000,8140,6354
610000,8588,6970
620000,5674,6775
630000,6737,6193
640000,7582,6941
650000,7403,7314
660000,7723,5919
670000,7804,7278
680000,9108,8599
690000,8592,6417
700000,10139,9685
710000,7665,7134
720000,9059,6693
730000,9891,6289
740000,9384,9112
750000,9647,8359
760000,8062,7284
770000,9387,8397
780000,10412,7821
790000,8504,8170
800000,8494,8637
810000,10626,8942
820000,11563,8302
830000,11796,11896
840000,12954,9919
850000,12985,8200
860000,9972,11285
870000,10148,11168
880000,11080,12276
890000,12709,10264
900000,11954,9706
910000,10366,11618
920000,10142,11324
930000,10161,11306
940000,10136,11064
950000,11827,10638
960000,11876,10793
970000,14795,13530
980000,13340,13116
990000,12601,13334
1000000,16007,12279
