Length,Radix Sort,QR Sort
10000,114,83
20000,219,169
30000,328,254
40000,711,519
50000,557,514
60000,748,523
70000,857,614
80000,1123,822
90000,1262,1012
100000,1634,1245
110000,1491,1030
120000,1642,1034
130000,1656,1177
140000,1834,1285
150000,1952,1399
160000,3004,1476
170000,2420,1716
180000,2552,1709
190000,2944,1966
200000,2762,1909
210000,2797,2117
220000,3127,2160
230000,3185,2189
240000,3320,2297
250000,3438,2438
260000,3747,2534
270000,3783,2590
280000,4065,2868
290000,4003,2813
300000,4713,4682
310000,4874,3171
320000,5575,3254
330000,5098,3377
340000,5209,3506
350000,5209,4789
360000,7454,3999
370000,7640,4155
380000,5812,3966
390000,6217,3989
400000,6572,4356
410000,6528,4482
420000,6590,4437
430000,6848,4519
440000,8821,5347
450000,8376,4506
460000,6868,12914
470000,9876,5564
480000,10093,7153
490000,8181,5137
500000,7515,5405
510000,7673,5643
520000,8275,5802
530000,8471,6478
540000,8803,6531
550000,9214,6041
560000,9313,6183
570000,9103,6297
580000,10672,6110
590000,9356,6416
600000,9280,6512
610000,11937,6956
620000,10347,7560
630000,10964,6840
640000,11737,6911
650000,12471,8082
660000,10980,7678
670000,11368,7518
680000,11676,7920
690000,11838,7841
700000,12401,8187
710000,14995,9750
720000,13439,8662
730000,14380,9315
740000,13564,8640
750000,12961,9791
760000,14752,10919
770000,13529,9455
780000,15824,11403
790000,14732,9655
800000,14352,9279
810000,14465,9503
820000,14235,9829
830000,13929,9129
840000,15033,9165
850000,15000,9253
860000,14972,9927
870000,14779,9501
880000,15907,11389
890000,15668,10282
900000,16392,11836
910000,16327,10012
920000,17584,10996
930000,18389,11509
940000,19564,11626
950000,18427,12021
960000,16907,11640
970000,19567,12737
980000,19360,12474
990000,17646,12205
1000000,18417,12604
