Length,Merge Sort,Quick Sort,Counting Sort,Radix Sort,QR Sort
10000,555,421,70222,152,91
20000,1038,774,44610,185,141
30000,1621,1203,44906,289,208
40000,2203,1630,44322,380,278
50000,2793,2131,43808,496,351
60000,3425,2585,45247,565,425
70000,4011,3059,45283,648,502
80000,4679,3552,45533,772,584
90000,5287,3958,45570,834,656
100000,5949,4504,45533,922,723
110000,6552,4963,46119,1021,805
120000,7261,5414,44865,1109,872
130000,7780,5883,44166,1192,945
140000,8393,6433,44675,1286,1026
150000,9165,6925,44403,1377,1113
160000,9811,7323,44876,1554,1152
170000,10575,7931,44890,1564,1225
180000,11217,8425,44875,1647,1293
190000,11852,8967,45150,1733,1371
200000,12533,9522,45328,1847,1440
210000,13165,9969,45264,1943,1516
220000,13890,10416,45320,2035,1579
230000,14509,10990,45751,2127,1655
240000,15403,11520,45782,2352,1716
250000,15988,12019,45619,2322,1780
260000,16596,12608,46146,2414,1870
270000,17293,13163,45999,2480,1918
280000,17886,13718,46363,2604,2012
290000,18600,14059,45747,2678,2044
300000,19198,14754,46317,2815,2129
310000,20027,15257,46438,2955,2225
320000,21266,16178,48864,4532,2382
330000,21549,16423,46780,3109,2377
340000,22765,17180,47762,3313,2506
350000,23119,17331,47157,3301,2499
360000,23543,17784,47130,3419,2590
370000,24450,18397,47096,3469,2635
380000,25229,18763,47301,3590,2726
390000,25686,19397,47456,3673,2769
400000,26355,19838,47487,3824,2864
410000,27037,20451,47770,3921,2911
420000,27715,20923,47573,3960,2984
430000,28439,21462,47851,4084,3100
440000,29158,22020,48064,4174,3150
450000,29878,22342,47962,4265,3187
460000,30547,23250,48391,4357,3249
470000,31975,23657,48323,4448,3362
480000,32055,24225,48481,4814,3419
490000,32664,24684,48662,4657,3523
500000,33191,25419,48573,4764,3583
510000,34125,26034,49161,4929,3646
520000,34857,26463,49107,5114,3722
530000,36124,27217,50004,5237,3844
540000,36385,27636,49422,5196,3876
550000,36932,28044,48962,5314,3926
560000,37665,28700,49387,5501,4004
570000,38138,29179,49397,5517,4052
580000,39368,29986,50024,5633,4127
590000,39611,30023,49529,5702,4227
600000,40405,30707,50078,5900,4301
610000,41228,31394,49856,5943,4326
620000,41837,31738,52010,6140,4390
630000,42588,32408,51719,6237,4490
640000,43383,32728,52069,9674,4575
650000,43968,33133,52028,6398,4625
660000,44709,34049,51918,6516,4693
670000,45540,34594,52614,6710,4762
680000,46416,35161,52014,6761,4854
690000,47095,35117,52268,6911,4927
700000,47924,36452,52934,7107,4979
710000,48724,36520,51790,7213,5118
720000,49351,37391,51263,7134,5175
730000,50168,37865,50983,7213,5187
740000,51034,38470,51725,7385,5342
750000,51840,38995,51764,7569,5366
760000,52497,39499,51585,7611,5426
770000,53286,40288,51864,7770,5586
780000,54051,40541,52604,7946,5648
790000,54569,41237,53298,7954,5674
800000,55247,41632,54235,8430,5722
810000,55874,42295,54130,8287,5802
820000,56681,42656,54283,8264,5863
830000,57491,43354,54556,8442,5964
840000,58103,43818,54871,8577,6040
850000,58815,44676,54137,8657,6094
860000,59473,44765,54824,8700,6157
870000,60588,45561,53499,8819,6232
880000,61308,46334,53388,8902,6318
890000,62175,47136,53686,9004,6447
900000,62470,47249,54113,9215,6476
910000,63669,48242,55916,9648,6645
920000,64630,48500,55330,9710,6719
930000,65824,49996,54653,9649,6789
940000,65507,49440,56245,9856,6731
950000,66283,49989,56520,9806,6791
960000,67151,50778,55503,13883,6886
970000,67623,51425,56694,10147,6931
980000,68386,51770,56859,10260,7060
990000,69184,52507,57071,10450,7086
1000000,70020,52843,56855,10280,7148
